position_Captain,position_Lieutenant,race_B,race_H,race_W,promotion,oral,written,combine
1.0,0.0,0.0,0.0,1.0,1.0,89.52,95.0,92.808
1.0,0.0,0.0,0.0,1.0,1.0,80.0,95.0,89.0
1.0,0.0,0.0,0.0,1.0,1.0,82.38,87.0,85.152
1.0,0.0,0.0,0.0,1.0,1.0,88.57,76.0,81.028
1.0,0.0,0.0,0.0,1.0,1.0,76.19,84.0,80.876
1.0,0.0,0.0,1.0,0.0,1.0,76.19,82.0,79.676
1.0,0.0,0.0,0.0,1.0,1.0,76.19,82.0,79.676
1.0,0.0,0.0,1.0,0.0,1.0,70.0,84.0,78.4
1.0,0.0,0.0,0.0,1.0,1.0,73.81,81.0,78.124
1.0,0.0,0.0,0.0,1.0,1.0,84.29,72.0,76.916
1.0,0.0,0.0,0.0,1.0,1.0,87.62,69.0,76.448
1.0,0.0,0.0,0.0,1.0,1.0,80.0,74.0,76.4
1.0,0.0,0.0,1.0,0.0,1.0,79.05,74.0,76.02
1.0,0.0,0.0,0.0,1.0,1.0,73.81,77.0,75.724
1.0,0.0,0.0,0.0,1.0,1.0,76.67,74.0,75.068
1.0,0.0,1.0,0.0,0.0,1.0,82.38,70.0,74.952
1.0,0.0,0.0,0.0,1.0,1.0,73.33,74.0,73.732
1.0,0.0,0.0,0.0,1.0,1.0,70.0,76.0,73.6
1.0,0.0,1.0,0.0,0.0,1.0,68.57,74.0,71.828
1.0,0.0,0.0,0.0,1.0,1.0,82.38,64.0,71.352
1.0,0.0,0.0,0.0,1.0,1.0,56.67,81.0,71.268
1.0,0.0,1.0,0.0,0.0,1.0,70.95,70.0,70.38
1.0,0.0,0.0,0.0,1.0,0.0,62.38,75.0,69.952
1.0,0.0,0.0,0.0,1.0,0.0,78.57,64.0,69.828
1.0,0.0,0.0,0.0,1.0,0.0,71.43,68.0,69.372
1.0,0.0,0.0,0.0,1.0,0.0,71.43,68.0,69.372
1.0,0.0,0.0,0.0,1.0,0.0,59.05,76.0,69.22
1.0,0.0,0.0,1.0,0.0,0.0,60.48,75.0,69.192
1.0,0.0,0.0,0.0,1.0,0.0,57.14,75.0,67.856
1.0,0.0,1.0,0.0,0.0,0.0,52.38,77.0,67.152
1.0,0.0,0.0,1.0,0.0,0.0,67.14,65.0,65.856
1.0,0.0,0.0,0.0,1.0,0.0,55.24,68.0,62.896
1.0,0.0,0.0,1.0,0.0,0.0,58.57,65.0,62.428
1.0,0.0,0.0,0.0,1.0,0.0,48.57,69.0,60.828
1.0,0.0,1.0,0.0,0.0,0.0,67.62,56.0,60.648
