dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
adult,1,lr,in,GF,-0.16,-0.097,-0.082,-0.085,-0.037,-0.036,-0.191,-0.121,-0.099,0.831,0.749,0.794,0.726,0.045058,6.6748046875
adult,1,rf,in,GF,-0.153,-0.099,-0.081,-0.075,-0.023,-0.025,-0.18,-0.098,-0.084,0.83,0.743,0.798,0.718,0.884037,16425.947265625
adult,1,svm,in,GF,-0.161,-0.089,-0.079,-0.084,-0.032,-0.033,-0.193,-0.125,-0.102,0.832,0.751,0.794,0.728,1.057924,6.5771484375
adult,1,xgb,in,GF,-0.154,-0.071,-0.069,-0.079,-0.033,-0.031,-0.188,-0.104,-0.091,0.829,0.744,0.792,0.72,0.204372,280.3916015625
adult,2,lr,in,GF,-0.16,-0.109,-0.085,-0.087,-0.113,-0.07,-0.198,-0.242,-0.153,0.839,0.76,0.81,0.734,0.037067,6.6748046875
adult,2,rf,in,GF,-0.158,-0.137,-0.097,-0.074,-0.07,-0.045,-0.188,-0.222,-0.141,0.838,0.754,0.813,0.727,0.870965,16717.666015625
adult,2,svm,in,GF,-0.16,-0.106,-0.084,-0.088,-0.113,-0.07,-0.199,-0.241,-0.154,0.839,0.759,0.808,0.734,0.876819,6.5771484375
adult,2,xgb,in,GF,-0.162,-0.118,-0.09,-0.079,-0.087,-0.054,-0.193,-0.208,-0.136,0.84,0.759,0.813,0.733,0.200778,276.33984375
adult,3,lr,in,GF,-0.161,-0.135,-0.098,-0.078,-0.064,-0.042,-0.197,-0.216,-0.142,0.832,0.75,0.802,0.725,0.036385,6.6748046875
adult,3,rf,in,GF,-0.153,-0.146,-0.099,-0.074,-0.047,-0.034,-0.184,-0.168,-0.114,0.833,0.746,0.809,0.719,0.888905,16434.853515625
adult,3,svm,in,GF,-0.16,-0.133,-0.097,-0.076,-0.053,-0.036,-0.194,-0.188,-0.127,0.832,0.75,0.801,0.725,0.575642,6.576171875
adult,3,xgb,in,GF,-0.154,-0.106,-0.082,-0.075,-0.033,-0.028,-0.185,-0.09,-0.078,0.833,0.749,0.806,0.723,0.199484,273.55078125
adult,4,lr,in,GF,-0.154,-0.068,-0.064,-0.085,-0.041,-0.036,-0.188,-0.079,-0.074,0.834,0.753,0.804,0.728,0.036538,6.6748046875
adult,4,rf,in,GF,-0.15,-0.092,-0.074,-0.083,-0.043,-0.036,-0.186,-0.138,-0.102,0.831,0.745,0.803,0.719,0.847615,16311.728515625
adult,4,svm,in,GF,-0.154,-0.07,-0.065,-0.086,-0.037,-0.035,-0.189,-0.08,-0.075,0.834,0.753,0.803,0.729,0.696992,6.5771484375
adult,4,xgb,in,GF,-0.154,-0.073,-0.067,-0.078,-0.01,-0.02,-0.184,-0.043,-0.056,0.832,0.749,0.802,0.724,0.195942,282.5166015625
adult,5,lr,in,GF,-0.153,-0.086,-0.075,-0.09,-0.066,-0.049,-0.195,-0.165,-0.121,0.832,0.747,0.793,0.724,0.036801,6.6748046875
adult,5,rf,in,GF,-0.152,-0.12,-0.091,-0.077,-0.047,-0.035,-0.181,-0.147,-0.106,0.83,0.741,0.795,0.715,0.884466,16155.478515625
adult,5,svm,in,GF,-0.153,-0.089,-0.076,-0.087,-0.068,-0.048,-0.191,-0.168,-0.12,0.831,0.747,0.792,0.724,0.775249,6.5771484375
adult,5,xgb,in,GF,-0.156,-0.111,-0.087,-0.085,-0.057,-0.043,-0.192,-0.138,-0.106,0.832,0.747,0.795,0.723,0.203559,279.7255859375
adult,6,lr,in,GF,-0.155,-0.098,-0.078,-0.097,-0.112,-0.073,-0.194,-0.131,-0.103,0.835,0.754,0.805,0.73,0.03592,6.6748046875
adult,6,rf,in,GF,-0.158,-0.187,-0.12,-0.082,-0.106,-0.064,-0.187,-0.261,-0.162,0.829,0.74,0.803,0.713,0.847098,16002.041015625
