dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
adult,1,lr,pre,RW,-0.088,0.184,0.081,-0.084,-0.049,-0.038,-0.141,0.087,0.025,0.837,0.763,0.798,0.742,0.047227,6.6875
adult,1,rf,pre,RW,-0.187,-0.047,-0.067,-0.096,-0.011,-0.026,-0.231,-0.124,-0.112,0.846,0.784,0.803,0.77,1.219619,61396.6240234375
adult,1,svm,pre,RW,-0.071,0.222,0.106,-0.078,-0.021,-0.024,-0.123,0.138,0.056,0.834,0.755,0.797,0.733,0.203988,6.5751953125
adult,1,xgb,pre,RW,-0.11,0.126,0.055,-0.083,-0.009,-0.016,-0.153,0.096,0.035,0.861,0.803,0.831,0.783,0.191128,260.654296875
adult,2,lr,pre,RW,-0.086,0.18,0.083,-0.076,-0.053,-0.037,-0.133,0.131,0.055,0.842,0.769,0.807,0.747,0.043281,6.6875
adult,2,rf,pre,RW,-0.185,-0.072,-0.073,-0.089,-0.028,-0.031,-0.226,-0.174,-0.126,0.855,0.797,0.818,0.782,1.228362,62258.8115234375
adult,2,svm,pre,RW,-0.067,0.229,0.114,-0.069,-0.035,-0.027,-0.117,0.161,0.075,0.842,0.765,0.813,0.74,0.250531,6.5751953125
adult,2,xgb,pre,RW,-0.1,0.15,0.07,-0.077,-0.065,-0.039,-0.15,0.067,0.026,0.863,0.803,0.837,0.781,0.187073,260.1904296875
adult,3,lr,pre,RW,-0.088,0.152,0.07,-0.076,-0.013,-0.017,-0.143,0.119,0.046,0.84,0.769,0.805,0.748,0.045857,6.6875
adult,3,rf,pre,RW,-0.192,-0.072,-0.078,-0.092,0.009,-0.014,-0.24,-0.098,-0.099,0.85,0.792,0.81,0.778,1.217881,62311.1552734375
adult,3,svm,pre,RW,-0.067,0.198,0.1,-0.07,-0.004,-0.011,-0.121,0.175,0.081,0.839,0.764,0.807,0.74,0.208376,6.5751953125
adult,3,xgb,pre,RW,-0.115,0.123,0.052,-0.086,-0.011,-0.017,-0.184,-0.011,-0.025,0.864,0.807,0.838,0.787,0.189521,257.732421875
adult,4,lr,pre,RW,-0.091,0.171,0.08,-0.088,-0.02,-0.025,-0.148,0.156,0.062,0.843,0.775,0.808,0.755,0.043744,6.6875
adult,4,rf,pre,RW,-0.2,-0.12,-0.099,-0.105,-0.025,-0.034,-0.255,-0.244,-0.17,0.855,0.8,0.817,0.787,1.246996,62376.9365234375
adult,4,svm,pre,RW,-0.073,0.212,0.106,-0.082,-0.01,-0.019,-0.128,0.186,0.084,0.841,0.769,0.809,0.746,0.295344,6.5751953125
adult,4,xgb,pre,RW,-0.117,0.101,0.044,-0.093,-0.027,-0.026,-0.173,0.009,-0.009,0.865,0.809,0.838,0.79,0.189594,266.1630859375
adult,5,lr,pre,RW,-0.079,0.173,0.08,-0.091,-0.077,-0.053,-0.144,0.056,0.011,0.835,0.759,0.793,0.739,0.043293,6.6875
adult,5,rf,pre,RW,-0.18,-0.059,-0.069,-0.114,-0.06,-0.055,-0.241,-0.157,-0.131,0.846,0.783,0.802,0.77,1.238904,61617.4052734375
adult,5,svm,pre,RW,-0.06,0.222,0.111,-0.087,-0.087,-0.055,-0.127,0.081,0.03,0.834,0.753,0.793,0.732,0.217993,6.5751953125
adult,5,xgb,pre,RW,-0.106,0.119,0.051,-0.1,-0.05,-0.041,-0.174,-0.015,-0.027,0.858,0.796,0.825,0.776,0.186752,259.658203125
adult,6,lr,pre,RW,-0.093,0.129,0.059,-0.094,-0.095,-0.062,-0.149,0.015,-0.008,0.843,0.773,0.811,0.751,0.041519,6.6875
adult,6,rf,pre,RW,-0.186,-0.084,-0.08,-0.115,-0.075,-0.064,-0.233,-0.143,-0.119,0.85,0.791,0.812,0.776,1.25372,62132.8740234375
adult,6,svm,pre,RW,-0.073,0.174,0.088,-0.085,-0.075,-0.05,-0.132,0.046,0.012,0.842,0.767,0.814,0.742,0.205005,6.5751953125
adult,6,xgb,pre,RW,-0.121,0.041,0.015,-0.104,-0.091,-0.062,-0.181,-0.069,-0.052,0.863,0.807,0.835,0.788,0.192646,256.6015625
adult,7,lr,pre,RW,-0.083,0.155,0.073,-0.088,-0.071,-0.051,-0.139,0.083,0.026,0.838,0.765,0.795,0.746,0.043042,6.6875
adult,7,rf,pre,RW,-0.2,-0.103,-0.097,-0.114,-0.08,-0.067,-0.254,-0.271,-0.19,0.848,0.789,0.801,0.78,1.225384,61672.5615234375
adult,7,svm,pre,RW,-0.069,0.188,0.094,-0.083,-0.064,-0.047,-0.124,0.105,0.041,0.836,0.759,0.794,0.739,0.210807,6.5751953125
adult,7,xgb,pre,RW,-0.116,0.099,0.04,-0.11,-0.117,-0.079,-0.187,-0.104,-0.076,0.862,0.802,0.828,0.784,0.193061,263.1728515625
adult,8,lr,pre,RW,-0.095,0.12,0.052,-0.093,-0.084,-0.058,-0.156,0.048,0.004,0.838,0.769,0.802,0.749,0.04435,6.6875
adult,8,rf,pre,RW,-0.203,-0.118,-0.104,-0.101,-0.03,-0.038,-0.251,-0.125,-0.119,0.848,0.791,0.807,0.78,1.22117,61521.6240234375
adult,8,svm,pre,RW,-0.077,0.154,0.076,-0.086,-0.065,-0.047,-0.136,0.095,0.034,0.836,0.763,0.801,0.742,0.472834,6.5751953125
adult,8,xgb,pre,RW,-0.118,0.07,0.027,-0.084,-0.026,-0.025,-0.17,0.004,-0.013,0.862,0.806,0.834,0.787,0.194678,258.7275390625
