dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
adult,1,lr,Baseline,Baseline,-0.185,-0.061,-0.074,-0.104,-0.05,-0.048,-0.232,-0.134,-0.119,0.842,0.777,0.8,0.762,0.055163,6.7080078125
adult,1,rf,Baseline,Baseline,-0.188,-0.042,-0.067,-0.103,-0.057,-0.049,-0.237,-0.187,-0.146,0.842,0.779,0.798,0.765,1.192323,57990.0859375
adult,1,svm,Baseline,Baseline,-0.177,-0.056,-0.068,-0.1,-0.052,-0.046,-0.222,-0.143,-0.119,0.842,0.775,0.801,0.757,0.220166,6.5869140625
adult,1,xgb,Baseline,Baseline,-0.187,-0.067,-0.069,-0.092,-0.021,-0.024,-0.225,-0.143,-0.109,0.863,0.808,0.828,0.794,0.197364,263.1943359375
adult,2,lr,Baseline,Baseline,-0.184,-0.09,-0.082,-0.093,-0.073,-0.053,-0.225,-0.209,-0.145,0.851,0.789,0.815,0.771,0.043825,6.7080078125
adult,2,rf,Baseline,Baseline,-0.183,-0.052,-0.062,-0.087,-0.022,-0.027,-0.227,-0.147,-0.114,0.859,0.802,0.823,0.786,1.212743,59107.8984375
adult,2,svm,Baseline,Baseline,-0.178,-0.09,-0.08,-0.089,-0.068,-0.049,-0.217,-0.199,-0.136,0.851,0.787,0.817,0.768,0.200387,6.5869140625
adult,2,xgb,Baseline,Baseline,-0.176,-0.044,-0.052,-0.091,-0.057,-0.041,-0.216,-0.117,-0.089,0.867,0.815,0.835,0.799,0.184895,257.083984375
adult,3,lr,Baseline,Baseline,-0.189,-0.14,-0.107,-0.091,-0.037,-0.033,-0.23,-0.14,-0.113,0.848,0.785,0.812,0.767,0.043548,6.7080078125
adult,3,rf,Baseline,Baseline,-0.195,-0.096,-0.09,-0.086,0.023,-0.004,-0.238,-0.075,-0.086,0.852,0.794,0.813,0.78,1.166286,58735.0859375
adult,3,svm,Baseline,Baseline,-0.179,-0.121,-0.095,-0.085,-0.031,-0.028,-0.218,-0.121,-0.099,0.846,0.78,0.812,0.76,0.194235,6.5869140625
adult,3,xgb,Baseline,Baseline,-0.184,-0.074,-0.07,-0.101,-0.024,-0.029,-0.236,-0.099,-0.089,0.867,0.814,0.836,0.798,0.18351,271.560546875
adult,4,lr,Baseline,Baseline,-0.191,-0.115,-0.096,-0.104,-0.038,-0.041,-0.238,-0.178,-0.135,0.848,0.785,0.81,0.769,0.045637,6.7080078125
adult,4,rf,Baseline,Baseline,-0.199,-0.111,-0.094,-0.105,-0.012,-0.029,-0.252,-0.214,-0.154,0.858,0.803,0.822,0.788,1.202797,59016.8046875
adult,4,svm,Baseline,Baseline,-0.182,-0.094,-0.083,-0.1,-0.018,-0.031,-0.228,-0.139,-0.113,0.848,0.784,0.813,0.766,0.241044,6.5869140625
adult,4,xgb,Baseline,Baseline,-0.188,-0.078,-0.07,-0.108,-0.042,-0.04,-0.232,-0.1,-0.086,0.869,0.818,0.84,0.802,0.186837,261.666015625
adult,5,lr,Baseline,Baseline,-0.174,-0.086,-0.08,-0.109,-0.068,-0.057,-0.229,-0.133,-0.115,0.842,0.774,0.799,0.757,0.044657,6.7080078125
adult,5,rf,Baseline,Baseline,-0.183,-0.083,-0.081,-0.112,-0.052,-0.05,-0.242,-0.191,-0.146,0.847,0.785,0.804,0.772,1.182349,58563.6796875
adult,5,svm,Baseline,Baseline,-0.169,-0.076,-0.073,-0.103,-0.051,-0.047,-0.223,-0.124,-0.108,0.843,0.774,0.802,0.756,0.462549,6.5869140625
adult,5,xgb,Baseline,Baseline,-0.182,-0.078,-0.073,-0.106,-0.03,-0.035,-0.236,-0.189,-0.136,0.862,0.806,0.826,0.791,0.188606,257.6142578125
adult,6,lr,Baseline,Baseline,-0.184,-0.11,-0.092,-0.104,-0.079,-0.06,-0.22,-0.079,-0.085,0.847,0.784,0.811,0.766,0.048012,6.7080078125
adult,6,rf,Baseline,Baseline,-0.189,-0.115,-0.095,-0.108,-0.054,-0.051,-0.231,-0.14,-0.117,0.85,0.79,0.812,0.774,1.227239,58610.0859375
adult,6,svm,Baseline,Baseline,-0.176,-0.083,-0.076,-0.103,-0.076,-0.058,-0.213,-0.067,-0.076,0.848,0.783,0.814,0.764,0.21758,6.5869140625
adult,6,xgb,Baseline,Baseline,-0.19,-0.105,-0.084,-0.113,-0.092,-0.066,-0.241,-0.186,-0.135,0.868,0.817,0.839,0.801,0.181791,256.1533203125
adult,7,lr,Baseline,Baseline,-0.185,-0.117,-0.097,-0.105,-0.074,-0.061,-0.23,-0.236,-0.165,0.844,0.778,0.798,0.764,0.044083,6.7080078125
adult,7,rf,Baseline,Baseline,-0.195,-0.092,-0.091,-0.116,-0.086,-0.072,-0.247,-0.236,-0.172,0.845,0.784,0.797,0.773,1.178554,58409.9296875
adult,7,svm,Baseline,Baseline,-0.179,-0.098,-0.086,-0.102,-0.07,-0.058,-0.223,-0.207,-0.148,0.844,0.778,0.799,0.763,0.463998,6.5869140625
adult,7,xgb,Baseline,Baseline,-0.189,-0.065,-0.07,-0.119,-0.102,-0.076,-0.242,-0.254,-0.17,0.864,0.811,0.824,0.8,0.191492,265.251953125
adult,8,lr,Baseline,Baseline,-0.196,-0.156,-0.119,-0.106,-0.086,-0.065,-0.237,-0.15,-0.124,0.842,0.781,0.803,0.765,0.047178,6.7080078125
adult,8,rf,Baseline,Baseline,-0.198,-0.101,-0.094,-0.097,-0.028,-0.035,-0.243,-0.116,-0.111,0.847,0.79,0.807,0.777,1.193875,58269.4609375
adult,8,svm,Baseline,Baseline,-0.187,-0.132,-0.104,-0.1,-0.078,-0.058,-0.227,-0.134,-0.113,0.843,0.779,0.805,0.761,0.222608,6.5869140625
adult,8,xgb,Baseline,Baseline,-0.199,-0.126,-0.1,-0.098,-0.046,-0.04,-0.237,-0.175,-0.128,0.863,0.811,0.829,0.798,0.18522,250.2421875
adult,9,lr,Baseline,Baseline,-0.18,-0.105,-0.091,-0.107,-0.153,-0.097,-0.235,-0.283,-0.188,0.843,0.777,0.798,0.763,0.043234,6.7080078125
adult,9,rf,Baseline,Baseline,-0.188,-0.138,-0.107,-0.098,-0.078,-0.062,-0.237,-0.273,-0.183,0.848,0.786,0.806,0.772,1.198366,58451.8046875
adult,9,svm,Baseline,Baseline,-0.171,-0.089,-0.079,-0.102,-0.142,-0.091,-0.223,-0.242,-0.164,0.842,0.775,0.8,0.758,0.468987,6.5869140625
adult,9,xgb,Baseline,Baseline,-0.176,-0.09,-0.073,-0.098,-0.111,-0.072,-0.227,-0.234,-0.152,0.867,0.812,0.835,0.796,0.186558,249.912109375
adult,10,lr,Baseline,Baseline,-0.185,-0.099,-0.088,-0.106,-0.113,-0.079,-0.234,-0.275,-0.183,0.849,0.783,0.808,0.766,0.047262,6.7080078125
adult,10,rf,Baseline,Baseline,-0.194,-0.09,-0.087,-0.104,-0.068,-0.059,-0.252,-0.27,-0.188,0.851,0.79,0.809,0.777,1.202069,58948.2109375
