dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
compas,1,lr,Baseline,Baseline,0.217,0.256,0.195,0.159,0.141,0.127,0.278,0.308,0.242,0.689,0.681,0.689,0.68,0.005882,1.50390625
compas,1,rf,Baseline,Baseline,0.093,0.124,0.076,0.149,0.132,0.124,0.11,0.065,0.065,0.65,0.641,0.648,0.641,0.178104,13609.6337890625
compas,1,svm,Baseline,Baseline,0.212,0.25,0.19,0.165,0.138,0.132,0.276,0.301,0.24,0.688,0.679,0.689,0.679,0.006439,1.3828125
compas,1,xgb,Baseline,Baseline,0.147,0.156,0.123,0.205,0.169,0.175,0.243,0.16,0.189,0.667,0.656,0.668,0.657,0.134152,270.748046875
compas,2,lr,Baseline,Baseline,0.212,0.19,0.171,0.184,0.208,0.158,0.331,0.336,0.287,0.68,0.671,0.681,0.671,0.00505,1.50390625
compas,2,rf,Baseline,Baseline,0.08,0.046,0.049,0.101,0.073,0.078,0.131,0.083,0.094,0.622,0.611,0.618,0.612,0.176958,13358.6962890625
compas,2,svm,Baseline,Baseline,0.203,0.172,0.16,0.179,0.196,0.152,0.313,0.299,0.265,0.683,0.674,0.684,0.674,0.006051,1.3828125
compas,2,xgb,Baseline,Baseline,0.136,0.078,0.095,0.121,0.068,0.09,0.212,0.122,0.161,0.649,0.637,0.649,0.638,0.133732,233.8896484375
compas,3,lr,Baseline,Baseline,0.158,0.124,0.106,0.199,0.263,0.185,0.294,0.336,0.248,0.697,0.689,0.697,0.688,0.005343,1.50390625
compas,3,rf,Baseline,Baseline,0.091,0.073,0.052,0.123,0.171,0.111,0.177,0.217,0.14,0.661,0.651,0.659,0.651,0.176565,13674.1650390625
compas,3,svm,Baseline,Baseline,0.141,0.098,0.087,0.196,0.248,0.181,0.272,0.27,0.214,0.697,0.688,0.696,0.687,0.006118,1.3828125
compas,3,xgb,Baseline,Baseline,0.17,0.155,0.128,0.194,0.233,0.179,0.267,0.309,0.229,0.677,0.668,0.676,0.667,0.130577,234.486328125
compas,4,lr,Baseline,Baseline,0.217,0.197,0.177,0.164,0.157,0.138,0.308,0.319,0.268,0.681,0.673,0.679,0.673,0.005316,1.50390625
compas,4,rf,Baseline,Baseline,0.126,0.101,0.094,0.099,0.098,0.08,0.161,0.134,0.121,0.636,0.63,0.632,0.629,0.176108,13335.8837890625
compas,4,svm,Baseline,Baseline,0.209,0.19,0.169,0.17,0.158,0.143,0.308,0.319,0.267,0.683,0.676,0.682,0.675,0.005534,1.3828125
compas,4,xgb,Baseline,Baseline,0.183,0.156,0.145,0.16,0.139,0.135,0.285,0.243,0.237,0.662,0.653,0.66,0.652,0.132377,230.8369140625
compas,5,lr,Baseline,Baseline,0.218,0.186,0.186,0.169,0.19,0.144,0.323,0.33,0.29,0.686,0.678,0.679,0.678,0.00522,1.50390625
compas,5,rf,Baseline,Baseline,0.101,0.06,0.073,0.097,0.067,0.071,0.133,0.046,0.089,0.641,0.633,0.633,0.634,0.176244,13297.2900390625
compas,5,svm,Baseline,Baseline,0.213,0.176,0.181,0.175,0.197,0.151,0.319,0.315,0.283,0.685,0.678,0.678,0.677,0.005725,1.3828125
compas,5,xgb,Baseline,Baseline,0.142,0.1,0.111,0.171,0.147,0.141,0.24,0.132,0.186,0.672,0.66,0.664,0.659,0.131237,233.3564453125
compas,6,lr,Baseline,Baseline,0.223,0.245,0.201,0.162,0.165,0.136,0.317,0.359,0.289,0.677,0.668,0.673,0.667,0.005152,1.50390625
compas,6,rf,Baseline,Baseline,0.15,0.142,0.126,0.12,0.106,0.095,0.209,0.192,0.175,0.651,0.642,0.646,0.642,0.176288,13548.3837890625
compas,6,svm,Baseline,Baseline,0.215,0.237,0.193,0.17,0.17,0.144,0.317,0.359,0.289,0.678,0.67,0.675,0.669,0.005933,1.3828125
compas,6,xgb,Baseline,Baseline,0.168,0.166,0.143,0.182,0.155,0.153,0.292,0.254,0.252,0.666,0.657,0.661,0.656,0.132099,247.5732421875
compas,7,lr,Baseline,Baseline,0.167,0.135,0.13,0.12,0.139,0.101,0.218,0.154,0.163,0.666,0.658,0.663,0.657,0.005257,1.50390625
compas,7,rf,Baseline,Baseline,0.102,0.109,0.074,0.114,0.131,0.096,0.137,0.115,0.093,0.655,0.647,0.651,0.647,0.176695,13389.6337890625
compas,7,svm,Baseline,Baseline,0.159,0.135,0.124,0.121,0.134,0.101,0.216,0.152,0.161,0.666,0.657,0.662,0.657,0.006088,1.3828125
compas,7,xgb,Baseline,Baseline,0.132,0.1,0.096,0.137,0.141,0.117,0.2,0.107,0.141,0.657,0.647,0.654,0.646,0.133076,253.1494140625
compas,8,lr,Baseline,Baseline,0.224,0.206,0.189,0.186,0.204,0.154,0.334,0.379,0.299,0.695,0.687,0.694,0.686,0.005031,1.50390625
compas,8,rf,Baseline,Baseline,0.112,0.096,0.086,0.155,0.137,0.127,0.223,0.194,0.185,0.648,0.635,0.645,0.636,0.175585,13478.3837890625
compas,8,svm,Baseline,Baseline,0.206,0.175,0.168,0.177,0.191,0.144,0.315,0.342,0.276,0.698,0.69,0.697,0.689,0.00558,1.3828125
