dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
diabetic,1,lr,Baseline,Baseline,-0.054,-0.063,-0.005,0.003,0.015,-0.062,-0.038,-0.04,-0.02,0.844,0.52,0.52,0.519,0.015796,35.1015625
diabetic,1,rf,Baseline,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.908,0.476,0.454,0.5,0.133499,2103.3798828125
diabetic,1,svm,Baseline,Baseline,-0.029,-0.061,0.125,-0.07,-0.07,-0.077,-0.085,-0.115,0.13,0.736,0.501,0.513,0.528,1.423399,34.978515625
diabetic,1,xgb,Baseline,Baseline,0.014,0.008,0.042,-0.021,-0.014,-0.062,-0.005,-0.005,-0.003,0.903,0.501,0.58,0.511,0.162298,183.095703125
diabetic,2,lr,Baseline,Baseline,-0.022,-0.043,0.085,-0.126,-0.126,-0.134,-0.143,-0.161,0.003,0.831,0.535,0.533,0.538,0.014738,35.1015625
diabetic,2,rf,Baseline,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.906,0.475,0.453,0.5,0.119005,2111.6552734375
diabetic,2,svm,Baseline,Baseline,-0.092,-0.089,-0.081,-0.113,-0.124,-0.07,-0.217,-0.22,-0.193,0.736,0.522,0.531,0.565,1.455885,34.978515625
diabetic,2,xgb,Baseline,Baseline,-0.009,-0.017,0.03,-0.011,-0.003,-0.047,-0.02,-0.021,-0.011,0.894,0.497,0.537,0.507,0.172194,180.306640625
diabetic,3,lr,Baseline,Baseline,0.003,-0.01,0.062,-0.039,-0.05,0.001,-0.02,-0.042,0.079,0.811,0.511,0.511,0.511,0.015174,35.1015625
diabetic,3,rf,Baseline,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.471,0.446,0.5,0.125779,1949.1884765625
diabetic,3,svm,Baseline,Baseline,0.022,0.029,0.017,-0.029,-0.064,0.101,0.006,-0.025,0.137,0.739,0.517,0.522,0.538,1.53854,34.978515625
diabetic,3,xgb,Baseline,Baseline,-0.01,-0.012,-0.006,0.003,0.004,0.002,-0.007,-0.008,-0.004,0.881,0.468,0.445,0.494,0.158653,178.248046875
diabetic,4,lr,Baseline,Baseline,0.007,-0.013,0.082,0.016,0.024,-0.01,0.041,0.028,0.091,0.819,0.516,0.518,0.516,0.014454,35.1015625
diabetic,4,rf,Baseline,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889,0.471,0.444,0.5,0.122797,2028.61328125
diabetic,4,svm,Baseline,Baseline,-0.019,-0.012,-0.021,-0.031,0.015,-0.189,-0.016,0.03,-0.158,0.772,0.56,0.555,0.587,1.498486,34.978515625
diabetic,4,xgb,Baseline,Baseline,-0.006,0.0,-0.023,0.004,0.0,0.019,0.0,0.0,0.0,0.892,0.496,0.946,0.512,0.163962,179.509765625
diabetic,5,lr,Baseline,Baseline,-0.014,-0.019,-0.0,0.027,0.023,0.046,0.015,0.009,0.046,0.825,0.482,0.48,0.485,0.014167,35.1015625
diabetic,5,rf,Baseline,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.471,0.446,0.5,0.119076,1992.345703125
diabetic,5,svm,Baseline,Baseline,0.009,-0.005,0.067,-0.05,-0.047,-0.07,-0.049,-0.063,0.01,0.736,0.501,0.508,0.514,1.412454,34.978515625
