dataset,iteration,model,type,sol_name,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
fpes,1,lr,Baseline,Baseline,-0.258,-0.333,-0.167,-0.258,-0.333,-0.167,0.944,0.944,0.947,0.947,0.003665,1.5400390625
fpes,1,rf,Baseline,Baseline,-0.06,0.077,0.038,-0.06,0.077,0.038,0.972,0.972,0.972,0.974,0.056357,125.232421875
fpes,1,svm,Baseline,Baseline,-0.104,0.0,0.0,-0.104,0.0,0.0,1.0,1.0,1.0,1.0,0.001663,1.4189453125
fpes,1,xgb,Baseline,Baseline,-0.017,0.154,0.077,-0.017,0.154,0.077,0.944,0.944,0.947,0.947,0.033367,73.171875
fpes,2,lr,Baseline,Baseline,-0.4,0.0,0.0,-0.4,0.0,0.0,1.0,1.0,1.0,1.0,0.003456,1.5400390625
fpes,2,rf,Baseline,Baseline,-0.35,0.077,0.038,-0.35,0.077,0.038,0.972,0.972,0.975,0.971,0.048942,134.78125
fpes,2,svm,Baseline,Baseline,-0.4,0.0,0.0,-0.4,0.0,0.0,1.0,1.0,1.0,1.0,0.003146,1.4189453125
fpes,2,xgb,Baseline,Baseline,-0.35,0.077,0.038,-0.35,0.077,0.038,0.972,0.972,0.975,0.971,0.039144,73.173828125
fpes,3,lr,Baseline,Baseline,-0.299,0.0,-0.016,-0.299,0.0,-0.016,0.944,0.943,0.955,0.938,0.003705,1.5400390625
fpes,3,rf,Baseline,Baseline,-0.279,0.067,0.033,-0.279,0.067,0.033,0.972,0.972,0.971,0.975,0.050651,133.693359375
fpes,3,svm,Baseline,Baseline,-0.325,0.0,0.0,-0.325,0.0,0.0,1.0,1.0,1.0,1.0,0.002627,1.4189453125
fpes,3,xgb,Baseline,Baseline,-0.305,-0.067,-0.033,-0.305,-0.067,-0.033,0.917,0.917,0.921,0.925,0.024628,73.171875
fpes,4,lr,Baseline,Baseline,-0.508,-0.25,-0.25,-0.508,-0.25,-0.25,0.917,0.915,0.912,0.919,0.003467,1.5400390625
fpes,4,rf,Baseline,Baseline,-0.344,0.0,0.0,-0.344,0.0,0.0,1.0,1.0,1.0,1.0,0.048377,132.91796875
fpes,4,svm,Baseline,Baseline,-0.344,0.0,0.0,-0.344,0.0,0.0,1.0,1.0,1.0,1.0,0.002126,1.4189453125
fpes,4,xgb,Baseline,Baseline,-0.344,0.0,0.0,-0.344,0.0,0.0,1.0,1.0,1.0,1.0,0.02707,73.158203125
fpes,5,lr,Baseline,Baseline,-0.286,0.0,-0.056,-0.286,0.0,-0.056,0.972,0.972,0.972,0.974,0.003382,1.5400390625
fpes,5,rf,Baseline,Baseline,-0.238,0.0,0.0,-0.238,0.0,0.0,1.0,1.0,1.0,1.0,0.052252,139.6923828125
fpes,5,svm,Baseline,Baseline,-0.238,0.083,-0.014,-0.238,0.083,-0.014,0.944,0.944,0.944,0.944,0.00287,1.4189453125
fpes,5,xgb,Baseline,Baseline,-0.19,0.083,0.042,-0.19,0.083,0.042,0.972,0.972,0.975,0.971,0.024819,73.173828125
fpes,6,lr,Baseline,Baseline,-0.371,0.143,0.071,-0.371,0.143,0.071,0.944,0.944,0.952,0.941,0.003573,1.5400390625
fpes,6,rf,Baseline,Baseline,-0.467,0.0,0.0,-0.467,0.0,0.0,1.0,1.0,1.0,1.0,0.041801,147.3486328125
fpes,6,svm,Baseline,Baseline,-0.419,0.071,0.036,-0.419,0.071,0.036,0.972,0.972,0.975,0.971,0.00283,1.4189453125
fpes,6,xgb,Baseline,Baseline,-0.467,0.0,0.0,-0.467,0.0,0.0,1.0,1.0,1.0,1.0,0.024077,73.173828125
