dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,age_mean_diff,age_eq_opp_diff,age_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
german,1,lr,Baseline,Baseline,-0.034,-0.033,-0.0,-0.068,-0.103,0.014,-0.1,-0.132,-0.006,0.757,0.708,0.717,0.702,0.006159,4.4931640625
german,1,rf,Baseline,Baseline,-0.076,-0.07,-0.047,-0.06,-0.032,0.009,-0.104,-0.097,-0.024,0.777,0.714,0.752,0.699,0.085955,2701.8994140625
german,1,svm,Baseline,Baseline,-0.054,-0.043,-0.029,-0.079,-0.108,-0.002,-0.122,-0.142,-0.037,0.754,0.701,0.713,0.693,0.004081,4.3720703125
german,1,xgb,Baseline,Baseline,-0.061,-0.101,-0.0,-0.023,0.017,0.049,-0.066,-0.067,0.039,0.771,0.722,0.734,0.714,0.12041,190.5224609375
german,2,lr,Baseline,Baseline,-0.134,-0.098,-0.122,-0.158,-0.026,-0.112,-0.249,-0.115,-0.194,0.738,0.668,0.675,0.663,0.005502,4.4931640625
german,2,rf,Baseline,Baseline,-0.103,-0.082,-0.076,-0.103,-0.031,-0.04,-0.16,-0.096,-0.088,0.774,0.684,0.732,0.667,0.080672,2689.2431640625
german,2,svm,Baseline,Baseline,-0.128,-0.097,-0.108,-0.137,-0.036,-0.079,-0.223,-0.125,-0.156,0.748,0.679,0.687,0.673,0.005563,4.3720703125
german,2,xgb,Baseline,Baseline,-0.082,-0.106,-0.027,-0.165,-0.084,-0.119,-0.205,-0.144,-0.122,0.731,0.648,0.663,0.641,0.116375,193.8427734375
german,3,lr,Baseline,Baseline,-0.104,-0.056,-0.106,-0.24,-0.239,-0.162,-0.232,-0.212,-0.17,0.734,0.685,0.694,0.68,0.005101,4.4931640625
german,3,rf,Baseline,Baseline,-0.09,-0.041,-0.097,-0.236,-0.16,-0.175,-0.259,-0.155,-0.211,0.724,0.659,0.681,0.651,0.085886,2688.470703125
german,3,svm,Baseline,Baseline,-0.089,-0.045,-0.09,-0.275,-0.244,-0.2,-0.265,-0.212,-0.204,0.734,0.683,0.693,0.677,0.006551,4.3720703125
german,3,xgb,Baseline,Baseline,-0.144,-0.105,-0.14,-0.128,0.025,-0.05,-0.179,-0.059,-0.117,0.757,0.7,0.726,0.689,0.130611,191.9072265625
german,4,lr,Baseline,Baseline,-0.046,-0.069,0.01,-0.301,-0.306,-0.259,-0.323,-0.316,-0.257,0.761,0.686,0.705,0.676,0.005123,4.4931640625
german,4,rf,Baseline,Baseline,0.011,-0.006,0.06,-0.158,-0.198,-0.102,-0.166,-0.211,-0.083,0.767,0.674,0.721,0.659,0.083378,2720.189453125
german,4,svm,Baseline,Baseline,-0.046,-0.068,0.011,-0.309,-0.316,-0.264,-0.33,-0.325,-0.261,0.767,0.692,0.715,0.68,0.006534,4.3720703125
german,4,xgb,Baseline,Baseline,-0.055,-0.037,-0.031,-0.199,-0.273,-0.125,-0.232,-0.307,-0.146,0.744,0.674,0.683,0.667,0.131451,186.8037109375
german,5,lr,Baseline,Baseline,-0.078,-0.068,-0.071,-0.111,-0.173,-0.034,-0.203,-0.255,-0.122,0.767,0.702,0.714,0.694,0.005194,4.4931640625
german,5,rf,Baseline,Baseline,-0.036,-0.008,-0.043,-0.181,-0.139,-0.158,-0.247,-0.155,-0.199,0.767,0.677,0.719,0.663,0.071391,2725.970703125
german,5,svm,Baseline,Baseline,-0.078,-0.068,-0.071,-0.111,-0.173,-0.034,-0.203,-0.255,-0.122,0.767,0.702,0.714,0.694,0.003839,4.3720703125
german,5,xgb,Baseline,Baseline,-0.047,-0.028,-0.045,-0.099,-0.065,-0.059,-0.184,-0.092,-0.114,0.767,0.713,0.715,0.712,0.122171,195.9677734375
german,6,lr,Baseline,Baseline,-0.119,-0.08,-0.074,-0.173,-0.14,-0.139,-0.283,-0.196,-0.211,0.711,0.642,0.682,0.636,0.005045,4.4931640625
german,6,rf,Baseline,Baseline,-0.02,0.027,0.011,-0.026,0.025,-0.002,-0.025,0.064,0.021,0.711,0.601,0.714,0.607,0.071106,2583.9306640625
german,6,svm,Baseline,Baseline,-0.12,-0.072,-0.079,-0.165,-0.134,-0.13,-0.277,-0.187,-0.207,0.711,0.645,0.681,0.638,0.005839,4.3720703125
german,6,xgb,Baseline,Baseline,-0.068,0.004,-0.043,-0.042,0.011,-0.015,-0.104,-0.012,-0.062,0.691,0.623,0.652,0.619,0.129082,186.0634765625
german,7,lr,Baseline,Baseline,-0.129,-0.11,-0.085,-0.151,-0.116,-0.061,-0.218,-0.13,-0.145,0.767,0.721,0.729,0.715,0.004851,4.4931640625
german,7,rf,Baseline,Baseline,-0.076,-0.065,-0.046,-0.077,-0.054,-0.018,-0.142,-0.091,-0.09,0.738,0.651,0.697,0.641,0.072268,2677.0556640625
german,7,svm,Baseline,Baseline,-0.125,-0.087,-0.096,-0.144,-0.127,-0.06,-0.204,-0.13,-0.142,0.761,0.707,0.722,0.698,0.00553,4.3720703125
german,7,xgb,Baseline,Baseline,-0.08,-0.052,-0.046,-0.098,-0.134,-0.011,-0.114,-0.127,-0.031,0.741,0.695,0.697,0.693,0.11432,188.3974609375
german,8,lr,Baseline,Baseline,-0.174,-0.081,-0.216,-0.176,-0.132,-0.108,-0.301,-0.194,-0.291,0.764,0.701,0.709,0.695,0.005673,4.4931640625
german,8,rf,Baseline,Baseline,-0.187,-0.11,-0.218,-0.219,-0.174,-0.152,-0.323,-0.247,-0.304,0.781,0.71,0.734,0.697,0.090339,2741.595703125
german,8,svm,Baseline,Baseline,-0.154,-0.062,-0.195,-0.172,-0.132,-0.101,-0.288,-0.185,-0.273,0.767,0.707,0.714,0.701,0.00389,4.3720703125
german,8,xgb,Baseline,Baseline,-0.15,-0.087,-0.172,-0.12,-0.105,-0.045,-0.238,-0.162,-0.206,0.767,0.7,0.714,0.691,0.125684,193.5771484375
german,9,lr,Baseline,Baseline,-0.089,-0.082,-0.026,-0.107,-0.069,-0.038,-0.143,-0.084,-0.042,0.761,0.683,0.702,0.673,0.005503,4.4931640625
german,9,rf,Baseline,Baseline,-0.018,-0.016,0.051,-0.059,0.053,-0.009,-0.031,0.074,0.057,0.777,0.687,0.734,0.67,0.083704,2727.845703125
german,9,svm,Baseline,Baseline,-0.101,-0.097,-0.033,-0.09,-0.037,-0.022,-0.149,-0.092,-0.046,0.767,0.689,0.712,0.677,0.005919,4.3720703125
german,9,xgb,Baseline,Baseline,-0.072,-0.067,-0.007,-0.073,-0.042,-0.001,-0.111,-0.084,-0.006,0.767,0.686,0.713,0.674,0.124025,193.3134765625
german,10,lr,Baseline,Baseline,-0.042,-0.039,0.024,-0.099,-0.068,-0.066,-0.11,-0.11,-0.036,0.738,0.668,0.678,0.661,0.004941,4.4931640625
german,10,rf,Baseline,Baseline,-0.022,0.001,0.047,-0.052,-0.04,-0.002,-0.086,-0.084,0.005,0.777,0.709,0.734,0.696,0.074188,2683.4619140625
german,10,svm,Baseline,Baseline,-0.048,-0.027,0.007,-0.129,-0.074,-0.106,-0.147,-0.11,-0.088,0.741,0.671,0.682,0.664,0.00565,4.3720703125
german,10,xgb,Baseline,Baseline,-0.032,-0.019,0.038,-0.057,-0.068,-0.002,-0.085,-0.101,0.01,0.751,0.689,0.697,0.684,0.122065,188.0009765625
german,11,lr,Baseline,Baseline,-0.147,-0.182,-0.093,-0.288,-0.329,-0.252,-0.307,-0.391,-0.23,0.714,0.64,0.655,0.633,0.005586,4.4931640625
german,11,rf,Baseline,Baseline,-0.098,-0.051,-0.093,-0.165,-0.203,-0.13,-0.196,-0.198,-0.171,0.728,0.639,0.673,0.63,0.081085,2628.7744140625
german,11,svm,Baseline,Baseline,-0.126,-0.174,-0.067,-0.292,-0.324,-0.262,-0.301,-0.382,-0.226,0.704,0.626,0.641,0.62,0.005527,4.3720703125
german,11,xgb,Baseline,Baseline,-0.071,-0.087,-0.023,-0.095,-0.105,-0.072,-0.087,-0.107,-0.038,0.721,0.656,0.666,0.65,0.126882,192.6494140625
german,12,lr,Baseline,Baseline,-0.009,-0.017,0.042,-0.062,0.026,0.019,-0.038,-0.017,0.049,0.738,0.657,0.664,0.652,0.005172,4.4931640625
german,12,rf,Baseline,Baseline,0.029,0.029,0.079,-0.026,0.051,0.069,-0.007,0.047,0.096,0.777,0.683,0.723,0.668,0.074213,2720.814453125
german,12,svm,Baseline,Baseline,-0.026,-0.03,0.023,-0.054,0.031,0.03,-0.038,-0.017,0.049,0.738,0.66,0.665,0.656,0.007079,4.3720703125
german,12,xgb,Baseline,Baseline,-0.042,-0.02,-0.012,-0.068,0.143,0.003,-0.056,0.102,-0.007,0.714,0.652,0.648,0.659,0.134745,186.6064453125
german,13,lr,Baseline,Baseline,-0.129,-0.078,-0.115,-0.109,-0.118,-0.047,-0.221,-0.175,-0.171,0.724,0.663,0.678,0.656,0.005514,4.4931640625
german,13,rf,Baseline,Baseline,-0.021,-0.002,0.011,-0.109,-0.097,-0.051,-0.11,-0.094,-0.047,0.748,0.666,0.721,0.654,0.081455,2647.2119140625
german,13,svm,Baseline,Baseline,-0.108,-0.056,-0.094,-0.066,-0.08,-0.003,-0.152,-0.116,-0.1,0.728,0.664,0.683,0.656,0.006553,4.3720703125
german,13,xgb,Baseline,Baseline,-0.102,-0.036,-0.094,-0.116,-0.129,-0.053,-0.186,-0.166,-0.138,0.731,0.669,0.687,0.661,0.132604,194.9736328125
german,14,lr,Baseline,Baseline,-0.11,-0.089,-0.117,-0.331,-0.288,-0.282,-0.389,-0.336,-0.362,0.734,0.651,0.659,0.646,0.006451,4.4931640625
german,14,rf,Baseline,Baseline,-0.085,-0.093,-0.068,-0.326,-0.231,-0.3,-0.385,-0.312,-0.364,0.738,0.634,0.657,0.625,0.089084,2704.564453125
german,14,svm,Baseline,Baseline,-0.124,-0.098,-0.133,-0.331,-0.294,-0.277,-0.396,-0.345,-0.367,0.741,0.66,0.668,0.654,0.006453,4.3720703125
german,14,xgb,Baseline,Baseline,-0.037,-0.009,-0.051,-0.216,-0.133,-0.184,-0.273,-0.175,-0.268,0.718,0.631,0.637,0.627,0.135341,188.2666015625
german,15,lr,Baseline,Baseline,-0.159,-0.146,-0.112,-0.187,-0.274,-0.101,-0.261,-0.326,-0.163,0.744,0.665,0.669,0.662,0.004781,4.4931640625
german,15,rf,Baseline,Baseline,-0.149,-0.083,-0.15,-0.116,-0.101,-0.096,-0.209,-0.152,-0.197,0.764,0.668,0.693,0.656,0.084444,2715.658203125
german,15,svm,Baseline,Baseline,-0.15,-0.124,-0.115,-0.172,-0.246,-0.095,-0.237,-0.28,-0.155,0.748,0.666,0.672,0.661,0.004675,4.3720703125
german,15,xgb,Baseline,Baseline,-0.181,-0.138,-0.156,-0.149,-0.153,-0.112,-0.207,-0.181,-0.166,0.748,0.674,0.675,0.673,0.121637,190.5888671875
