dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
heart_disease,1,lr,Baseline,Baseline,0.324,0.123,0.083,0.324,0.123,0.083,0.769,0.767,0.772,0.767,0.007577,2.0341796875
heart_disease,1,rf,Baseline,Baseline,0.29,0.027,0.036,0.29,0.027,0.036,0.791,0.789,0.799,0.788,0.066185,609.2724609375
heart_disease,1,svm,Baseline,Baseline,0.29,0.027,0.036,0.29,0.027,0.036,0.791,0.789,0.799,0.788,0.004136,1.9130859375
heart_disease,1,xgb,Baseline,Baseline,0.176,-0.011,-0.106,0.176,-0.011,-0.106,0.758,0.755,0.766,0.755,0.104669,110.62890625
heart_disease,2,lr,Baseline,Baseline,0.477,0.212,0.303,0.477,0.212,0.303,0.857,0.857,0.856,0.857,0.003777,2.0341796875
heart_disease,2,rf,Baseline,Baseline,0.449,0.182,0.275,0.449,0.182,0.275,0.857,0.856,0.857,0.855,0.065331,643.3349609375
heart_disease,2,svm,Baseline,Baseline,0.492,0.212,0.317,0.492,0.212,0.317,0.868,0.868,0.867,0.869,0.002957,1.9130859375
heart_disease,2,xgb,Baseline,Baseline,0.385,0.18,0.235,0.385,0.18,0.235,0.791,0.79,0.79,0.789,0.108322,113.685546875
heart_disease,3,lr,Baseline,Baseline,0.258,0.241,0.148,0.258,0.241,0.148,0.813,0.812,0.814,0.811,0.003832,2.0341796875
heart_disease,3,rf,Baseline,Baseline,0.175,0.085,0.07,0.175,0.085,0.07,0.835,0.833,0.84,0.832,0.058242,632.3974609375
heart_disease,3,svm,Baseline,Baseline,0.291,0.241,0.193,0.291,0.241,0.193,0.802,0.8,0.804,0.799,0.002904,1.9130859375
heart_disease,3,xgb,Baseline,Baseline,0.143,-0.054,0.089,0.143,-0.054,0.089,0.758,0.751,0.771,0.751,0.092223,114.8876953125
heart_disease,4,lr,Baseline,Baseline,0.206,0.143,0.033,0.206,0.143,0.033,0.879,0.879,0.881,0.878,0.004059,2.0341796875
heart_disease,4,rf,Baseline,Baseline,0.254,0.162,0.107,0.254,0.162,0.107,0.846,0.846,0.846,0.846,0.063827,635.9912109375
heart_disease,4,svm,Baseline,Baseline,0.171,0.09,0.007,0.171,0.09,0.007,0.868,0.868,0.869,0.867,0.001816,1.9130859375
heart_disease,4,xgb,Baseline,Baseline,0.222,0.162,0.078,0.222,0.162,0.078,0.824,0.824,0.825,0.823,0.085456,113.21875
heart_disease,5,lr,Baseline,Baseline,0.341,0.138,0.128,0.341,0.138,0.128,0.846,0.845,0.847,0.844,0.003853,2.0341796875
heart_disease,5,rf,Baseline,Baseline,0.278,0.026,0.059,0.278,0.026,0.059,0.868,0.866,0.876,0.864,0.064501,657.0849609375
heart_disease,5,svm,Baseline,Baseline,0.325,0.138,0.114,0.325,0.138,0.114,0.835,0.834,0.837,0.833,0.003098,1.9130859375
heart_disease,5,xgb,Baseline,Baseline,0.345,0.185,0.124,0.345,0.185,0.124,0.835,0.833,0.84,0.832,0.08786,114.619140625
heart_disease,6,lr,Baseline,Baseline,0.374,0.207,0.109,0.374,0.207,0.109,0.868,0.864,0.864,0.864,0.004003,2.0341796875
heart_disease,6,rf,Baseline,Baseline,0.374,0.234,0.122,0.374,0.234,0.122,0.835,0.832,0.83,0.836,0.059914,642.2412109375
heart_disease,6,svm,Baseline,Baseline,0.374,0.207,0.109,0.374,0.207,0.109,0.868,0.864,0.864,0.864,0.002203,1.9130859375
heart_disease,6,xgb,Baseline,Baseline,0.341,0.165,0.088,0.341,0.165,0.088,0.857,0.854,0.853,0.855,0.087955,112.759765625
heart_disease,7,lr,Baseline,Baseline,0.282,0.099,0.007,0.282,0.099,0.007,0.824,0.818,0.83,0.813,0.003972,2.0341796875
heart_disease,7,rf,Baseline,Baseline,0.254,0.107,-0.032,0.254,0.107,-0.032,0.813,0.802,0.835,0.796,0.048677,621.1474609375
heart_disease,7,svm,Baseline,Baseline,0.317,0.143,0.029,0.317,0.143,0.029,0.835,0.828,0.845,0.823,0.002246,1.9130859375
heart_disease,7,xgb,Baseline,Baseline,0.254,0.036,-0.039,0.254,0.036,-0.039,0.857,0.848,0.886,0.84,0.10424,115.15625
