dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
mep,1,lr,Baseline,Baseline,-0.064,-0.062,-0.05,-0.028,-0.057,-0.033,-0.098,-0.185,-0.115,0.864,0.697,0.777,0.665,0.022149,2.888671875
mep,1,rf,Baseline,Baseline,-0.052,-0.009,-0.021,-0.028,-0.026,-0.02,-0.086,-0.068,-0.057,0.865,0.704,0.776,0.672,0.721643,25867.3046875
mep,1,svm,Baseline,Baseline,-0.05,-0.02,-0.025,-0.019,-0.038,-0.02,-0.076,-0.113,-0.073,0.864,0.689,0.782,0.655,0.068438,2.767578125
mep,1,xgb,Baseline,Baseline,-0.071,-0.053,-0.048,-0.037,-0.035,-0.028,-0.112,-0.105,-0.085,0.862,0.717,0.759,0.692,0.148484,336.90234375
mep,2,lr,Baseline,Baseline,-0.072,-0.07,-0.054,-0.032,-0.059,-0.034,-0.098,-0.114,-0.079,0.865,0.704,0.791,0.67,0.023534,2.888671875
mep,2,rf,Baseline,Baseline,-0.054,-0.036,-0.028,-0.027,-0.041,-0.023,-0.08,-0.091,-0.058,0.864,0.712,0.782,0.68,0.715615,25513.7109375
mep,2,svm,Baseline,Baseline,-0.061,-0.049,-0.04,-0.025,-0.045,-0.024,-0.082,-0.09,-0.061,0.864,0.701,0.793,0.666,0.064341,2.767578125
mep,2,xgb,Baseline,Baseline,-0.069,-0.055,-0.044,-0.034,-0.067,-0.037,-0.102,-0.131,-0.086,0.86,0.718,0.764,0.692,0.150525,325.681640625
mep,3,lr,Baseline,Baseline,-0.064,-0.081,-0.057,-0.021,-0.01,-0.007,-0.09,-0.133,-0.086,0.857,0.688,0.765,0.657,0.021738,2.888671875
mep,3,rf,Baseline,Baseline,-0.041,-0.015,-0.016,-0.026,-0.021,-0.014,-0.07,-0.053,-0.039,0.86,0.698,0.769,0.667,0.716895,25348.8671875
mep,3,svm,Baseline,Baseline,-0.052,-0.042,-0.035,-0.013,-0.008,-0.002,-0.07,-0.069,-0.048,0.858,0.685,0.769,0.653,0.067377,2.767578125
mep,3,xgb,Baseline,Baseline,-0.062,-0.051,-0.041,-0.044,-0.082,-0.048,-0.109,-0.157,-0.102,0.86,0.716,0.761,0.69,0.157663,338.2373046875
mep,4,lr,Baseline,Baseline,-0.066,-0.081,-0.059,-0.036,-0.084,-0.047,-0.101,-0.189,-0.117,0.855,0.686,0.771,0.654,0.021542,2.888671875
mep,4,rf,Baseline,Baseline,-0.054,-0.039,-0.033,-0.038,-0.064,-0.039,-0.094,-0.153,-0.097,0.859,0.701,0.775,0.669,0.732506,25313.2421875
mep,4,svm,Baseline,Baseline,-0.054,-0.058,-0.043,-0.026,-0.065,-0.034,-0.08,-0.154,-0.092,0.853,0.672,0.769,0.641,0.069099,2.767578125
mep,4,xgb,Baseline,Baseline,-0.063,-0.041,-0.038,-0.045,-0.072,-0.046,-0.109,-0.183,-0.117,0.853,0.708,0.751,0.683,0.148473,338.49609375
mep,5,lr,Baseline,Baseline,-0.04,-0.004,-0.012,-0.045,-0.097,-0.06,-0.087,-0.131,-0.087,0.86,0.693,0.766,0.662,0.021541,2.888671875
mep,5,rf,Baseline,Baseline,-0.018,0.095,0.041,-0.046,-0.107,-0.064,-0.068,-0.055,-0.044,0.858,0.701,0.754,0.674,0.724009,25279.3359375
mep,5,svm,Baseline,Baseline,-0.028,0.031,0.008,-0.028,-0.051,-0.031,-0.06,-0.057,-0.042,0.859,0.686,0.765,0.655,0.065663,2.767578125
mep,5,xgb,Baseline,Baseline,-0.046,0.027,-0.002,-0.048,-0.11,-0.066,-0.095,-0.12,-0.085,0.85,0.702,0.732,0.682,0.15665,353.978515625
mep,6,lr,Baseline,Baseline,-0.051,-0.049,-0.038,-0.042,-0.112,-0.062,-0.095,-0.197,-0.117,0.863,0.698,0.778,0.665,0.022628,2.888671875
mep,6,rf,Baseline,Baseline,-0.035,-0.008,-0.011,-0.033,-0.052,-0.031,-0.071,-0.101,-0.062,0.862,0.701,0.77,0.671,0.724838,25317.3046875
mep,6,svm,Baseline,Baseline,-0.043,-0.031,-0.026,-0.03,-0.07,-0.038,-0.074,-0.116,-0.071,0.863,0.69,0.782,0.656,0.068087,2.767578125
mep,6,xgb,Baseline,Baseline,-0.044,-0.002,-0.013,-0.042,-0.086,-0.05,-0.084,-0.064,-0.05,0.854,0.704,0.743,0.681,0.156835,337.771484375
mep,7,lr,Baseline,Baseline,-0.055,-0.034,-0.03,-0.02,-0.005,-0.005,-0.08,-0.073,-0.053,0.86,0.689,0.759,0.659,0.022605,2.888671875
mep,7,rf,Baseline,Baseline,-0.05,-0.026,-0.022,-0.017,0.018,0.006,-0.072,-0.035,-0.03,0.863,0.7,0.766,0.669,0.726995,25625.8984375
mep,7,svm,Baseline,Baseline,-0.045,-0.041,-0.028,-0.01,0.042,0.019,-0.059,-0.004,-0.012,0.858,0.677,0.76,0.647,0.068643,2.767578125
mep,7,xgb,Baseline,Baseline,-0.061,-0.028,-0.028,-0.038,-0.038,-0.029,-0.102,-0.088,-0.068,0.857,0.708,0.743,0.686,0.154842,335.443359375
