dataset,iteration,model,type,sol_name,age_mean_diff,age_eq_opp_diff,age_avg_odds_diff,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
speedDating,1,lr,Baseline,Baseline,-0.03,0.0,-0.0,0.018,0.0,0.0,-0.003,0.0,-0.001,0.08,0.0,0.0,1.0,0.999,0.999,1.0,0.047274,27.0615234375
speedDating,1,rf,Baseline,Baseline,-0.053,-0.218,-0.11,0.019,0.039,0.02,-0.017,-0.078,-0.04,-0.024,-0.299,-0.15,0.938,0.87,0.962,0.818,0.545793,7300.9775390625
speedDating,1,svm,Baseline,Baseline,-0.031,0.0,-0.001,0.018,0.0,0.0,-0.003,0.0,-0.001,0.076,0.0,-0.002,0.999,0.998,0.997,0.999,1.749644,26.9375
speedDating,1,xgb,Baseline,Baseline,-0.029,0.0,0.0,0.017,0.0,0.0,-0.002,0.0,0.0,0.08,0.0,0.0,1.0,1.0,1.0,1.0,0.143167,102.6904296875
speedDating,2,lr,Baseline,Baseline,-0.015,0.0,0.0,0.002,0.005,0.002,-0.0,0.007,0.003,-0.062,0.0,0.0,1.0,0.999,1.0,0.999,0.037583,27.0615234375
speedDating,2,rf,Baseline,Baseline,-0.054,-0.272,-0.136,0.009,0.05,0.025,-0.016,-0.082,-0.041,-0.131,-0.704,-0.352,0.941,0.871,0.967,0.817,0.536737,7527.7197265625
speedDating,2,svm,Baseline,Baseline,-0.015,0.0,0.0,0.001,0.0,0.0,-0.002,0.0,0.0,-0.062,0.0,0.0,1.0,1.0,1.0,1.0,4.049622,26.9375
speedDating,2,xgb,Baseline,Baseline,-0.015,0.0,0.0,0.001,0.0,0.0,-0.002,0.0,0.0,-0.062,0.0,0.0,1.0,1.0,1.0,1.0,0.142306,102.6884765625
speedDating,3,lr,Baseline,Baseline,-0.044,0.003,0.002,0.009,-0.005,-0.002,-0.031,0.0,0.0,-0.098,0.0,0.0,1.0,0.999,1.0,0.999,0.038651,27.0615234375
speedDating,3,rf,Baseline,Baseline,-0.071,-0.282,-0.141,0.002,-0.035,-0.017,-0.04,-0.098,-0.049,-0.058,0.194,0.097,0.948,0.894,0.969,0.847,0.510149,7046.0810546875
speedDating,3,svm,Baseline,Baseline,-0.045,0.0,-0.0,0.009,0.0,-0.0,-0.032,0.0,-0.001,-0.102,0.0,-0.002,1.0,0.999,0.999,1.0,3.52303,26.9375
speedDating,3,xgb,Baseline,Baseline,-0.045,0.0,0.0,0.01,0.0,0.0,-0.031,0.0,0.0,-0.098,0.0,0.0,1.0,1.0,1.0,1.0,0.134663,102.6904296875
speedDating,4,lr,Baseline,Baseline,-0.032,0.003,0.001,0.015,-0.004,-0.002,0.0,-0.012,-0.007,-0.199,nan,nan,0.999,0.999,0.999,0.999,0.038226,27.0615234375
speedDating,4,rf,Baseline,Baseline,-0.066,-0.286,-0.143,0.012,0.007,0.004,-0.01,-0.068,-0.034,-0.125,nan,nan,0.947,0.892,0.97,0.844,0.542789,7201.5732421875
speedDating,4,svm,Baseline,Baseline,-0.034,0.0,-0.001,0.012,0.0,-0.002,0.0,0.0,-0.002,-0.206,nan,nan,0.998,0.997,0.995,0.999,3.241782,26.9375
speedDating,4,xgb,Baseline,Baseline,-0.032,0.0,0.0,0.015,0.0,0.0,0.004,0.0,0.0,-0.199,nan,nan,1.0,1.0,1.0,1.0,0.138361,102.6904296875
speedDating,5,lr,Baseline,Baseline,-0.039,0.012,0.006,-0.001,-0.018,-0.009,-0.037,0.018,0.008,-0.085,0.0,0.0,0.998,0.996,0.998,0.995,0.037897,27.0615234375
