dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
student-por,1,lr,Baseline,Baseline,0.072,0.018,0.089,0.072,0.018,0.089,0.923,0.846,0.862,0.832,0.008067,3.7763671875
student-por,1,rf,Baseline,Baseline,0.003,-0.027,-0.031,0.003,-0.027,-0.031,0.918,0.842,0.842,0.842,0.075763,686.0380859375
student-por,1,svm,Baseline,Baseline,0.055,0.018,0.027,0.055,0.018,0.027,0.933,0.87,0.875,0.865,0.007639,3.6552734375
student-por,1,xgb,Baseline,Baseline,0.003,-0.027,-0.031,0.003,-0.027,-0.031,0.918,0.842,0.842,0.842,0.090242,105.08984375
student-por,2,lr,Baseline,Baseline,0.04,0.024,0.026,0.04,0.024,0.026,0.897,0.791,0.811,0.776,0.00462,3.7763671875
student-por,2,rf,Baseline,Baseline,0.034,0.048,-0.04,0.034,0.048,-0.04,0.913,0.802,0.881,0.758,0.054528,665.5693359375
student-por,2,svm,Baseline,Baseline,0.032,0.024,-0.004,0.032,0.024,-0.004,0.903,0.805,0.819,0.792,0.003384,3.6552734375
student-por,2,xgb,Baseline,Baseline,0.014,0.028,-0.07,0.014,0.028,-0.07,0.918,0.828,0.864,0.802,0.076325,103.556640625
student-por,3,lr,Baseline,Baseline,0.043,-0.014,-0.058,0.043,-0.014,-0.058,0.933,0.866,0.896,0.843,0.004714,3.7763671875
student-por,3,rf,Baseline,Baseline,0.01,-0.03,-0.133,0.01,-0.03,-0.133,0.938,0.875,0.914,0.846,0.066796,695.2568359375
student-por,3,svm,Baseline,Baseline,0.038,-0.009,-0.094,0.038,-0.009,-0.094,0.928,0.862,0.872,0.853,0.003641,3.6552734375
student-por,3,xgb,Baseline,Baseline,0.02,-0.019,-0.138,0.02,-0.019,-0.138,0.928,0.866,0.866,0.866,0.097591,106.75
student-por,4,lr,Baseline,Baseline,0.033,0.017,0.116,0.033,0.017,0.116,0.923,0.819,0.838,0.802,0.004861,3.7763671875
student-por,4,rf,Baseline,Baseline,0.015,0.015,0.053,0.015,0.015,0.053,0.959,0.898,0.954,0.857,0.054616,730.578125
student-por,4,svm,Baseline,Baseline,0.033,0.017,0.116,0.033,0.017,0.116,0.923,0.819,0.838,0.802,0.003809,3.6552734375
student-por,4,xgb,Baseline,Baseline,-0.018,-0.008,-0.014,-0.018,-0.008,-0.014,0.928,0.834,0.846,0.822,0.090367,109.080078125
student-por,5,lr,Baseline,Baseline,0.102,0.043,0.2,0.102,0.043,0.2,0.918,0.833,0.807,0.868,0.005571,3.7763671875
student-por,5,rf,Baseline,Baseline,0.059,0.032,0.068,0.059,0.032,0.068,0.933,0.853,0.848,0.859,0.06895,741.359375
student-por,5,svm,Baseline,Baseline,0.081,0.033,0.15,0.081,0.033,0.15,0.908,0.812,0.788,0.845,0.005207,3.6552734375
student-por,5,xgb,Baseline,Baseline,0.037,0.017,0.025,0.037,0.017,0.025,0.944,0.876,0.87,0.882,0.080086,109.345703125
student-por,6,lr,Baseline,Baseline,0.067,-0.029,0.047,0.067,-0.029,0.047,0.928,0.858,0.908,0.824,0.005047,3.7763671875
student-por,6,rf,Baseline,Baseline,0.024,-0.019,-0.06,0.024,-0.019,-0.06,0.913,0.814,0.907,0.767,0.065438,701.0380859375
student-por,6,svm,Baseline,Baseline,0.063,-0.012,-0.012,0.063,-0.012,-0.012,0.933,0.874,0.902,0.851,0.005197,3.6552734375
student-por,6,xgb,Baseline,Baseline,0.054,-0.002,-0.029,0.054,-0.002,-0.029,0.923,0.846,0.902,0.809,0.092613,105.5537109375
student-por,7,lr,Baseline,Baseline,0.047,0.006,0.077,0.047,0.006,0.077,0.933,0.862,0.838,0.894,0.004775,3.7763671875
student-por,7,rf,Baseline,Baseline,0.004,-0.026,0.016,0.004,-0.026,0.016,0.938,0.857,0.871,0.845,0.055349,701.6630859375
student-por,7,svm,Baseline,Baseline,0.029,-0.014,0.067,0.029,-0.014,0.067,0.923,0.846,0.816,0.888,0.006307,3.6552734375
student-por,7,xgb,Baseline,Baseline,-0.007,-0.014,-0.058,-0.007,-0.014,-0.058,0.908,0.807,0.789,0.828,0.086858,106.8876953125
student-por,8,lr,Baseline,Baseline,0.09,0.037,0.14,0.09,0.037,0.14,0.913,0.814,0.872,0.778,0.004825,3.7763671875
student-por,8,rf,Baseline,Baseline,0.009,0.006,-0.058,0.009,0.006,-0.058,0.944,0.884,0.932,0.849,0.068291,705.2568359375
student-por,8,svm,Baseline,Baseline,0.107,0.068,0.126,0.107,0.068,0.126,0.908,0.812,0.845,0.788,0.006464,3.6552734375
student-por,8,xgb,Baseline,Baseline,0.03,0.007,0.008,0.03,0.007,0.008,0.918,0.842,0.852,0.833,0.082794,105.556640625
student-por,9,lr,Baseline,Baseline,-0.028,-0.072,-0.14,-0.028,-0.072,-0.14,0.908,0.818,0.809,0.827,0.005206,3.7763671875
student-por,9,rf,Baseline,Baseline,-0.014,-0.043,-0.157,-0.014,-0.043,-0.157,0.918,0.828,0.839,0.818,0.070458,682.4443359375
student-por,9,svm,Baseline,Baseline,-0.036,-0.091,-0.108,-0.036,-0.091,-0.108,0.892,0.79,0.779,0.803,0.006245,3.6552734375
student-por,9,xgb,Baseline,Baseline,0.011,-0.027,-0.118,0.011,-0.027,-0.118,0.918,0.833,0.833,0.833,0.081071,103.828125
student-por,10,lr,Baseline,Baseline,0.053,0.024,-0.014,0.053,0.024,-0.014,0.938,0.875,0.887,0.864,0.00472,3.7763671875
student-por,10,rf,Baseline,Baseline,0.037,-0.001,0.011,0.037,-0.001,0.011,0.923,0.836,0.867,0.813,0.065071,733.859375
student-por,10,svm,Baseline,Baseline,0.077,0.068,-0.026,0.077,0.068,-0.026,0.918,0.838,0.838,0.838,0.003751,3.6552734375
student-por,10,xgb,Baseline,Baseline,0.062,0.038,-0.005,0.062,0.038,-0.005,0.923,0.841,0.858,0.827,0.078402,106.0234375
student-por,11,lr,Baseline,Baseline,0.082,0.097,-0.086,0.082,0.097,-0.086,0.892,0.784,0.788,0.78,0.004655,3.7763671875
student-por,11,rf,Baseline,Baseline,0.059,0.044,-0.036,0.059,0.044,-0.036,0.918,0.81,0.884,0.767,0.064367,688.5380859375
student-por,11,svm,Baseline,Baseline,0.07,0.097,-0.117,0.07,0.097,-0.117,0.887,0.771,0.779,0.763,0.005191,3.6552734375
student-por,11,xgb,Baseline,Baseline,0.086,0.063,0.005,0.086,0.063,0.005,0.908,0.8,0.835,0.775,0.071247,103.6259765625
student-por,12,lr,Baseline,Baseline,0.119,0.049,0.233,0.119,0.049,0.233,0.892,0.763,0.814,0.732,0.004643,3.7763671875
student-por,12,rf,Baseline,Baseline,0.038,-0.002,0.082,0.038,-0.002,0.082,0.918,0.816,0.888,0.774,0.064562,689.7880859375
student-por,12,svm,Baseline,Baseline,0.108,0.056,0.181,0.108,0.056,0.181,0.892,0.778,0.802,0.759,0.003409,3.6552734375
student-por,12,xgb,Baseline,Baseline,0.018,-0.004,0.012,0.018,-0.004,0.012,0.928,0.858,0.869,0.848,0.083371,104.021484375
student-por,13,lr,Baseline,Baseline,-0.032,0.021,-0.089,-0.032,0.021,-0.089,0.913,0.825,0.865,0.797,0.004628,3.7763671875
student-por,13,rf,Baseline,Baseline,-0.077,-0.022,-0.136,-0.077,-0.022,-0.136,0.933,0.862,0.925,0.822,0.054205,706.5068359375
student-por,13,svm,Baseline,Baseline,-0.032,0.007,-0.055,-0.032,0.007,-0.055,0.923,0.846,0.888,0.816,0.004734,3.6552734375
student-por,13,xgb,Baseline,Baseline,-0.037,0.036,-0.132,-0.037,0.036,-0.132,0.918,0.842,0.863,0.825,0.079903,106.154296875
student-por,14,lr,Baseline,Baseline,0.07,0.031,0.039,0.07,0.031,0.039,0.913,0.814,0.81,0.82,0.004646,3.7763671875
student-por,14,rf,Baseline,Baseline,0.002,-0.01,-0.088,0.002,-0.01,-0.088,0.938,0.84,0.938,0.786,0.064626,739.640625
student-por,14,svm,Baseline,Baseline,0.094,0.045,0.082,0.094,0.045,0.082,0.913,0.82,0.807,0.836,0.005222,3.6552734375
student-por,14,xgb,Baseline,Baseline,0.059,-0.002,0.112,0.059,-0.002,0.112,0.913,0.786,0.834,0.754,0.09593,108.6806640625
student-por,15,lr,Baseline,Baseline,0.038,0.026,-0.057,0.038,0.026,-0.057,0.918,0.861,0.869,0.853,0.00467,3.7763671875
student-por,15,rf,Baseline,Baseline,-0.01,-0.011,-0.131,-0.01,-0.011,-0.131,0.949,0.907,0.955,0.872,0.06291,680.5693359375
student-por,15,svm,Baseline,Baseline,0.061,0.066,-0.066,0.061,0.066,-0.066,0.918,0.864,0.864,0.864,0.005141,3.6552734375
student-por,15,xgb,Baseline,Baseline,0.047,0.044,-0.08,0.047,0.044,-0.08,0.954,0.921,0.936,0.907,0.08188,106.8857421875
student-por,16,lr,Baseline,Baseline,0.007,0.004,0.0,0.007,0.004,0.0,0.872,0.794,0.776,0.818,0.004947,3.7763671875
student-por,16,rf,Baseline,Baseline,-0.016,0.011,-0.082,-0.016,0.011,-0.082,0.928,0.872,0.882,0.864,0.062089,684.0068359375
student-por,16,svm,Baseline,Baseline,0.034,0.022,0.042,0.034,0.022,0.042,0.862,0.786,0.762,0.823,0.005912,3.6552734375
student-por,16,xgb,Baseline,Baseline,0.013,0.054,-0.08,0.013,0.054,-0.08,0.928,0.881,0.866,0.899,0.078815,104.490234375
student-por,17,lr,Baseline,Baseline,0.082,0.002,-0.05,0.082,0.002,-0.05,0.923,0.841,0.858,0.827,0.005127,3.7763671875
student-por,17,rf,Baseline,Baseline,0.069,0.001,-0.08,0.069,0.001,-0.08,0.933,0.853,0.903,0.819,0.068217,689.1630859375
student-por,17,svm,Baseline,Baseline,0.109,0.004,0.009,0.109,0.004,0.009,0.918,0.842,0.833,0.852,0.005485,3.6552734375
student-por,17,xgb,Baseline,Baseline,0.066,0.021,-0.154,0.066,0.021,-0.154,0.923,0.846,0.851,0.841,0.09386,106.41796875
student-por,18,lr,Baseline,Baseline,0.133,0.086,-0.036,0.133,0.086,-0.036,0.877,0.742,0.729,0.759,0.004614,3.7763671875
student-por,18,rf,Baseline,Baseline,0.095,0.06,-0.148,0.095,0.06,-0.148,0.903,0.778,0.783,0.774,0.064647,672.4443359375
student-por,18,svm,Baseline,Baseline,0.124,0.071,-0.088,0.124,0.071,-0.088,0.892,0.778,0.759,0.802,0.0052,3.6552734375
student-por,18,xgb,Baseline,Baseline,0.029,-0.019,-0.188,0.029,-0.019,-0.188,0.913,0.794,0.812,0.779,0.070504,101.5
student-por,19,lr,Baseline,Baseline,0.009,-0.037,-0.072,0.009,-0.037,-0.072,0.938,0.857,0.886,0.834,0.004811,3.7763671875
student-por,19,rf,Baseline,Baseline,-0.027,-0.028,-0.169,-0.027,-0.028,-0.169,0.918,0.787,0.87,0.741,0.068614,683.3818359375
student-por,19,svm,Baseline,Baseline,0.018,-0.012,-0.095,0.018,-0.012,-0.095,0.933,0.843,0.879,0.815,0.004491,3.6552734375
student-por,19,xgb,Baseline,Baseline,-0.012,-0.012,-0.214,-0.012,-0.012,-0.214,0.938,0.857,0.886,0.834,0.090816,108.28125
student-por,20,lr,Baseline,Baseline,0.013,0.007,-0.086,0.013,0.007,-0.086,0.933,0.853,0.848,0.859,0.004779,3.7763671875
student-por,20,rf,Baseline,Baseline,0.0,-0.019,-0.061,0.0,-0.019,-0.061,0.954,0.887,0.93,0.854,0.064446,740.734375
student-por,20,svm,Baseline,Baseline,0.004,0.013,-0.125,0.004,0.013,-0.125,0.918,0.822,0.812,0.834,0.003736,3.6552734375
student-por,20,xgb,Baseline,Baseline,-0.009,-0.033,-0.065,-0.009,-0.033,-0.065,0.944,0.876,0.87,0.882,0.092529,109.0830078125
student-por,21,lr,Baseline,Baseline,0.004,-0.0,-0.107,0.004,-0.0,-0.107,0.938,0.871,0.883,0.86,0.004616,3.7763671875
student-por,21,rf,Baseline,Baseline,0.027,0.005,-0.033,0.027,0.005,-0.033,0.944,0.872,0.927,0.833,0.070947,712.7568359375
student-por,21,svm,Baseline,Baseline,0.02,0.015,-0.1,0.02,0.015,-0.1,0.944,0.887,0.881,0.893,0.003666,3.6552734375
student-por,21,xgb,Baseline,Baseline,0.022,0.02,-0.097,0.022,0.02,-0.097,0.949,0.889,0.917,0.866,0.079034,108.345703125
student-por,22,lr,Baseline,Baseline,0.017,0.031,-0.078,0.017,0.031,-0.078,0.887,0.771,0.756,0.788,0.004859,3.7763671875
student-por,22,rf,Baseline,Baseline,0.03,0.02,-0.005,0.03,0.02,-0.005,0.923,0.825,0.843,0.809,0.056748,696.8193359375
student-por,22,svm,Baseline,Baseline,0.003,0.031,-0.124,0.003,0.031,-0.124,0.882,0.757,0.746,0.769,0.003661,3.6552734375
student-por,22,xgb,Baseline,Baseline,-0.024,-0.024,-0.094,-0.024,-0.024,-0.094,0.923,0.836,0.831,0.842,0.0775,105.4873046875
student-por,23,lr,Baseline,Baseline,0.067,0.004,0.104,0.067,0.004,0.104,0.903,0.786,0.813,0.765,0.004771,3.7763671875
student-por,23,rf,Baseline,Baseline,-0.014,-0.005,-0.149,-0.014,-0.005,-0.149,0.918,0.803,0.88,0.759,0.054744,674.9443359375
student-por,23,svm,Baseline,Baseline,0.091,0.018,0.145,0.091,0.018,0.145,0.903,0.793,0.808,0.78,0.003759,3.6552734375
student-por,23,xgb,Baseline,Baseline,0.026,0.013,-0.078,0.026,0.013,-0.078,0.897,0.797,0.789,0.806,0.08486,104.55859375
student-por,24,lr,Baseline,Baseline,0.049,0.002,-0.034,0.049,0.002,-0.034,0.887,0.756,0.765,0.748,0.004591,3.7763671875
student-por,24,rf,Baseline,Baseline,0.061,0.005,-0.053,0.061,0.005,-0.053,0.938,0.852,0.919,0.809,0.054481,683.0693359375
student-por,24,svm,Baseline,Baseline,0.049,0.002,-0.034,0.049,0.002,-0.034,0.887,0.756,0.765,0.748,0.003726,3.6552734375
student-por,24,xgb,Baseline,Baseline,0.053,-0.013,-0.033,0.053,-0.013,-0.033,0.908,0.807,0.807,0.807,0.084471,105.48828125
student-por,25,lr,Baseline,Baseline,-0.013,0.018,-0.227,-0.013,0.018,-0.227,0.882,0.764,0.768,0.76,0.00475,3.7763671875
student-por,25,rf,Baseline,Baseline,-0.008,0.001,-0.211,-0.008,0.001,-0.211,0.928,0.85,0.874,0.83,0.069186,716.6630859375
student-por,25,svm,Baseline,Baseline,-0.019,0.023,-0.263,-0.019,0.023,-0.263,0.877,0.764,0.757,0.771,0.003646,3.6552734375
student-por,25,xgb,Baseline,Baseline,0.017,0.016,-0.172,0.017,0.016,-0.172,0.928,0.854,0.865,0.844,0.095892,107.548828125
student-por,26,lr,Baseline,Baseline,0.047,0.05,-0.046,0.047,0.05,-0.046,0.887,0.777,0.77,0.786,0.004601,3.7763671875
student-por,26,rf,Baseline,Baseline,0.025,0.023,-0.06,0.025,0.023,-0.06,0.923,0.831,0.862,0.806,0.064324,717.2880859375
student-por,26,svm,Baseline,Baseline,0.071,0.065,-0.003,0.071,0.065,-0.003,0.887,0.783,0.769,0.8,0.006655,3.6552734375
student-por,26,xgb,Baseline,Baseline,0.032,0.003,0.001,0.032,0.003,0.001,0.923,0.841,0.847,0.836,0.085365,108.0791015625
student-por,27,lr,Baseline,Baseline,-0.011,0.009,-0.153,-0.011,0.009,-0.153,0.913,0.802,0.863,0.764,0.004724,3.7763671875
student-por,27,rf,Baseline,Baseline,-0.089,-0.02,-0.339,-0.089,-0.02,-0.339,0.918,0.803,0.902,0.753,0.054815,677.9130859375
student-por,27,svm,Baseline,Baseline,0.008,0.018,-0.115,0.008,0.018,-0.115,0.897,0.785,0.805,0.769,0.003638,3.6552734375
student-por,27,xgb,Baseline,Baseline,-0.106,-0.047,-0.357,-0.106,-0.047,-0.357,0.913,0.82,0.836,0.807,0.074737,102.826171875
student-por,28,lr,Baseline,Baseline,0.067,0.049,0.144,0.067,0.049,0.144,0.913,0.847,0.86,0.835,0.004781,3.7763671875
student-por,28,rf,Baseline,Baseline,-0.016,0.003,-0.01,-0.016,0.003,-0.01,0.928,0.862,0.925,0.822,0.05473,685.7236328125
student-por,28,svm,Baseline,Baseline,0.037,0.035,0.089,0.037,0.035,0.089,0.928,0.875,0.884,0.867,0.005503,3.6552734375
student-por,28,xgb,Baseline,Baseline,0.016,0.021,0.058,0.016,0.021,0.058,0.938,0.893,0.903,0.884,0.086954,107.220703125
student-por,29,lr,Baseline,Baseline,0.126,0.017,0.073,0.126,0.017,0.073,0.918,0.842,0.888,0.811,0.004561,3.7763671875
student-por,29,rf,Baseline,Baseline,0.087,-0.019,0.03,0.087,-0.019,0.03,0.923,0.846,0.919,0.803,0.064157,716.5068359375
student-por,29,svm,Baseline,Baseline,0.14,0.035,0.082,0.14,0.035,0.082,0.913,0.835,0.872,0.808,0.00358,3.6552734375
student-por,29,xgb,Baseline,Baseline,0.105,-0.001,0.028,0.105,-0.001,0.028,0.928,0.862,0.91,0.829,0.086499,106.6845703125
student-por,30,lr,Baseline,Baseline,0.018,0.0,0.004,0.018,0.0,0.004,0.938,0.885,0.895,0.875,0.004653,3.7763671875
student-por,30,rf,Baseline,Baseline,-0.015,-0.02,-0.05,-0.015,-0.02,-0.05,0.938,0.875,0.929,0.838,0.063716,672.7568359375
